SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532810,POWER FINAN ,A ,Q,116.00,116.00,113.75,114.25,113.75,115.95,1324,189585,21734202.00,
532811,AHLUWALIA CO,B ,Q,327.00,327.00,323.00,323.00,323.00,325.00,5,33,10739.00,
532813,C & C CONSTR,Z ,Q,9.47,9.89,9.31,9.87,9.87,9.47,12,17486,166390.00,
532814,INDIAN BANK ,A ,Q,250.15,258.50,249.35,253.10,253.45,252.35,861,87542,22329564.00,
532815,SMS PHARMACE,B ,Q,58.00,62.65,58.00,59.75,59.65,60.55,15,869,53268.00,
532817,ORIENTAL    ,B ,Q,12.50,12.50,12.50,12.50,12.50,12.29,3,1000,12500.00,
532819,MINDTREE LTD,A ,Q,984.85,986.35,977.25,981.55,980.00,981.30,903,15609,15309983.00,
532820,ELAND       ,T ,Q,7.35,7.35,6.67,7.00,7.00,7.02,32,13372,92532.00,
532822,IDEA        ,A ,Q,15.50,16.55,15.15,16.25,16.25,15.60,3511,3377487,54305450.00,
532823,EURO CERAMIC,T ,Q,1.55,1.56,1.43,1.49,1.49,1.49,11,6275,9504.00,
532826,RAJ TELE    ,Z ,Q,42.10,42.10,42.10,42.10,42.10,40.40,1,2,84.00,
532827,PAGE INDUSTR,A ,Q,22900.00,22902.75,22450.05,22549.80,22549.80,22947.75,416,758,17194348.00,
532828,AMD INDUS   ,B ,Q,20.40,20.60,19.55,20.55,20.55,20.80,6,1525,30940.00,
532829,LAWRESHWAR  ,X ,Q,25.75,26.90,25.75,26.90,26.90,27.50,3,102,2681.00,
532830,ASTRAL POLY ,A ,Q,1235.85,1235.85,1205.00,1216.00,1215.90,1230.80,57,6224,7568600.00,
532832,INDBUL REAL ,A ,Q,113.50,117.60,112.40,116.00,116.00,115.10,7494,1044057,120431663.00,
532834,CAMLINFINE  ,B ,Q,45.00,45.20,43.50,44.30,44.30,45.90,519,20870,926776.00,
532835,ICRA        ,B ,Q,3100.00,3199.95,3100.00,3111.50,3111.50,3103.80,6,30,93146.00,
532839,DISH TV     ,A ,Q,35.00,37.05,35.00,35.70,35.85,36.00,986,547921,19786325.00,
532841,SAHYA INDU  ,X ,Q,167.70,174.00,165.00,170.80,170.00,171.10,166,8814,1510079.00,
532842,SREE RAYALA ,B ,Q,162.20,168.95,161.75,162.20,164.95,164.95,20,1088,178541.00,
532843,FORTIS      ,A ,Q,137.95,138.00,137.00,137.50,137.50,138.20,178,25045,3446452.00,
532845,TGBHOTELS   ,B ,Q,9.70,10.21,9.05,9.95,9.90,9.75,43,15909,153107.00,
